"","G","Date","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","win_loss","team"
"190",14,"2019-11-20","MIL","L",127,135,44,96,0.458,14,31,0.452,25,31,0.806,9,43,27,8,2,13,26,0.4,"Hawks"
"191",15,"2019-11-22","DET","L",103,128,38,88,0.432,10,37,0.27,17,17,1,10,34,26,12,2,19,18,0.363636363636364,"Hawks"
"192",16,"2019-11-23","TOR","L",116,119,47,90,0.522,14,34,0.412,8,11,0.727,8,38,32,9,7,15,27,0.333333333333333,"Hawks"
"193",17,"2019-11-25","MIN","L",113,125,41,94,0.436,10,32,0.313,21,26,0.808,9,42,26,6,4,17,25,0.307692307692308,"Hawks"
"194",18,"2019-11-27","MIL","L",102,111,38,94,0.404,11,34,0.324,15,22,0.682,14,49,22,4,5,17,25,0.285714285714286,"Hawks"
"195",19,"2019-11-29","IND","L",104,105,39,90,0.433,9,32,0.281,17,18,0.944,10,48,14,10,3,24,27,0.266666666666667,"Hawks"
"196",20,"2019-11-30","HOU","L",111,158,38,89,0.427,15,46,0.326,20,25,0.8,8,29,26,5,2,13,23,0.25,"Hawks"
"197",21,"2019-12-02","GSW","W",104,79,41,89,0.461,8,29,0.276,14,15,0.933,11,38,21,13,4,14,12,0.3125,"Hawks"
"198",22,"2019-12-04","BRK","L",118,130,48,90,0.533,9,26,0.346,13,21,0.619,9,35,24,8,9,16,19,0.294117647058824,"Hawks"
"199",23,"2019-12-08","CHO","W",122,107,44,91,0.484,18,45,0.4,16,17,0.941,11,48,28,8,8,13,24,0.352941176470588,"Hawks"
"200",24,"2019-12-10","MIA","L",121,135,45,95,0.474,20,54,0.37,11,18,0.611,4,37,30,4,6,11,23,0.333333333333333,"Hawks"
"201",25,"2019-12-11","CHI","L",102,136,35,83,0.422,13,38,0.342,19,26,0.731,10,41,26,7,5,23,20,0.315789473684211,"Hawks"
"202",1,"2019-10-23","MEM","W",120,101,40,85,0.471,7,18,0.389,33,39,0.846,11,51,18,9,8,21,33,NA,"Heat"
"203",2,"2019-10-26","MIL","W",131,126,46,101,0.455,16,44,0.364,23,36,0.639,8,54,33,7,3,16,30,NA,"Heat"
"204",3,"2019-10-27","MIN","L",109,116,42,85,0.494,15,36,0.417,10,15,0.667,7,41,25,7,9,21,23,2,"Heat"
"205",4,"2019-10-29","ATL","W",112,97,33,73,0.452,13,31,0.419,33,45,0.733,13,49,19,11,6,26,22,3,"Heat"
"206",5,"2019-10-31","ATL","W",106,97,40,84,0.476,14,37,0.378,12,19,0.632,9,41,29,12,9,13,18,4,"Heat"
"207",6,"2019-11-03","HOU","W",129,100,47,89,0.528,18,41,0.439,17,22,0.773,5,46,38,14,7,15,21,5,"Heat"
"208",7,"2019-11-05","DEN","L",89,109,32,88,0.364,9,29,0.31,16,25,0.64,13,44,23,12,5,13,21,2.5,"Heat"
"209",8,"2019-11-07","PHO","W",124,108,45,82,0.549,15,28,0.536,19,24,0.792,5,41,22,9,5,13,28,3,"Heat"
"210",9,"2019-11-08","LAL","L",80,95,28,80,0.35,6,35,0.171,18,24,0.75,8,37,18,9,2,12,12,2,"Heat"
"211",10,"2019-11-12","DET","W",117,108,41,77,0.532,14,32,0.438,21,27,0.778,8,42,34,6,1,19,30,2.33333333333333,"Heat"
"212",11,"2019-11-14","CLE","W",108,97,43,79,0.544,12,30,0.4,10,11,0.909,4,41,31,10,7,18,21,2.66666666666667,"Heat"
"213",12,"2019-11-16","NOP","W",109,94,44,81,0.543,9,24,0.375,12,13,0.923,9,45,25,13,3,20,6,3,"Heat"
"214",13,"2019-11-20","CLE","W",124,100,41,78,0.526,19,37,0.514,23,31,0.742,12,44,25,8,5,23,20,3.33333333333333,"Heat"
"215",14,"2019-11-22","CHI","W",116,108,39,79,0.494,14,38,0.368,24,28,0.857,9,44,33,10,3,19,17,3.66666666666667,"Heat"
"216",15,"2019-11-23","PHI","L",86,113,30,75,0.4,6,24,0.25,20,27,0.741,9,38,12,6,4,17,16,2.75,"Heat"
"217",16,"2019-11-25","CHO","W",117,100,40,77,0.519,13,31,0.419,24,28,0.857,8,49,29,9,3,18,23,3,"Heat"
"218",17,"2019-11-27","HOU","L",108,117,37,80,0.463,14,37,0.378,20,27,0.741,8,41,22,8,3,18,24,2.4,"Heat"
"219",18,"2019-11-29","GSW","W",122,105,44,82,0.537,13,25,0.52,21,28,0.75,10,49,23,7,3,15,30,2.6,"Heat"
"220",19,"2019-12-01","BRK","W",109,106,37,95,0.389,12,37,0.324,23,28,0.821,16,51,16,3,2,9,17,2.8,"Heat"
"221",20,"2019-12-03","TOR","W",121,110,45,99,0.455,15,38,0.395,16,21,0.762,10,55,29,4,7,11,27,3,"Heat"
"222",21,"2019-12-04","BOS","L",93,112,34,77,0.442,14,38,0.368,11,17,0.647,8,40,20,7,2,18,25,2.5,"Heat"
"223",22,"2019-12-06","WAS","W",112,103,42,86,0.488,10,28,0.357,18,24,0.75,11,50,28,6,7,12,13,2.66666666666667,"Heat"
"224",23,"2019-12-08","CHI","W",110,105,32,77,0.416,11,35,0.314,35,44,0.795,10,43,20,9,2,17,23,2.83333333333333,"Heat"
"225",24,"2019-12-10","ATL","W",135,121,53,103,0.515,14,41,0.341,15,22,0.682,9,53,35,5,3,11,17,3,"Heat"
"226",1,"2019-10-23","CHI","W",126,125,45,88,0.511,23,44,0.523,13,16,0.813,9,41,28,3,4,19,18,NA,"Hornets"
"227",2,"2019-10-25","MIN","L",99,121,37,84,0.44,12,29,0.414,13,26,0.5,9,42,26,6,5,19,29,1,"Hornets"
"228",3,"2019-10-27","LAL","L",101,120,35,91,0.385,10,35,0.286,21,23,0.913,13,45,19,7,4,14,20,0.5,"Hornets"
"229",4,"2019-10-28","LAC","L",96,111,36,83,0.434,14,39,0.359,10,14,0.714,9,38,24,5,3,21,23,0.333333333333333,"Hornets"
"230",5,"2019-10-30","SAC","W",118,111,46,84,0.548,16,32,0.5,10,14,0.714,10,46,30,8,3,20,17,0.666666666666667,"Hornets"
"231",6,"2019-11-02","GSW","W",93,87,36,85,0.424,5,29,0.172,16,23,0.696,16,48,18,6,1,12,15,1,"Hornets"
"232",7,"2019-11-05","IND","W",122,120,42,88,0.477,10,31,0.323,28,42,0.667,10,37,22,7,4,13,17,1.33333333333333,"Hornets"
"233",8,"2019-11-07","BOS","L",87,108,33,86,0.384,6,31,0.194,15,21,0.714,9,49,21,7,9,20,19,1,"Hornets"
"234",9,"2019-11-09","NOP","L",110,115,36,88,0.409,12,35,0.343,26,34,0.765,13,42,27,10,2,21,27,0.8,"Hornets"
"235",10,"2019-11-10","PHI","L",106,114,38,84,0.452,14,33,0.424,16,22,0.727,6,31,22,9,1,13,19,0.666666666666667,"Hornets"
"236",11,"2019-11-13","MEM","L",117,119,43,87,0.494,16,36,0.444,15,19,0.789,7,34,27,8,5,15,12,0.571428571428571,"Hornets"
"237",12,"2019-11-15","DET","W",109,106,43,96,0.448,13,35,0.371,10,16,0.625,14,41,22,10,3,10,17,0.714285714285714,"Hornets"
"238",13,"2019-11-16","NYK","W",103,102,36,87,0.414,17,48,0.354,14,19,0.737,12,42,22,5,3,10,18,0.857142857142857,"Hornets"
"239",14,"2019-11-18","TOR","L",96,132,33,78,0.423,15,45,0.333,15,24,0.625,9,37,26,3,8,19,19,0.75,"Hornets"
"240",15,"2019-11-20","BRK","L",91,101,30,81,0.37,11,33,0.333,20,26,0.769,8,41,17,8,3,16,23,0.666666666666667,"Hornets"
"241",16,"2019-11-22","WAS","L",118,125,48,93,0.516,14,34,0.412,8,8,1,7,44,24,9,5,16,18,0.6,"Hornets"
"242",17,"2019-11-23","CHI","L",115,116,44,80,0.55,12,28,0.429,15,22,0.682,10,43,26,5,7,19,17,0.545454545454545,"Hornets"
"243",18,"2019-11-25","MIA","L",100,117,36,87,0.414,9,33,0.273,19,25,0.76,10,35,25,11,0,13,24,0.5,"Hornets"
"244",19,"2019-11-27","DET","W",102,101,39,88,0.443,7,30,0.233,17,20,0.85,10,41,27,3,7,3,18,0.583333333333333,"Hornets"
"245",20,"2019-11-29","DET","W",110,107,40,83,0.482,19,38,0.5,11,15,0.733,11,37,26,8,6,10,17,0.666666666666667,"Hornets"
"246",21,"2019-11-30","MIL","L",96,137,37,101,0.366,15,45,0.333,7,8,0.875,15,53,21,4,1,12,18,0.615384615384615,"Hornets"
"247",22,"2019-12-02","PHO","L",104,109,38,84,0.452,7,25,0.28,21,26,0.808,14,53,27,4,7,19,23,0.571428571428571,"Hornets"
"248",23,"2019-12-04","GSW","W",106,91,40,87,0.46,21,48,0.438,5,8,0.625,11,44,30,11,7,13,20,0.642857142857143,"Hornets"
"249",24,"2019-12-06","BRK","L",104,111,36,83,0.434,17,40,0.425,15,17,0.882,10,34,23,6,6,19,16,0.6,"Hornets"
"250",25,"2019-12-08","ATL","L",107,122,36,90,0.4,11,31,0.355,24,29,0.828,13,44,22,8,3,11,17,0.5625,"Hornets"
"251",26,"2019-12-10","WAS","W",114,107,38,85,0.447,16,41,0.39,22,28,0.786,11,48,22,4,4,13,26,0.625,"Hornets"
"252",27,"2019-12-11","BRK","W",113,108,36,88,0.409,15,35,0.429,26,32,0.813,15,47,20,2,6,8,23,0.6875,"Hornets"
"253",1,"2019-10-23","OKC","W",100,95,40,90,0.444,6,24,0.25,14,20,0.7,11,49,15,4,5,11,31,NA,"Jazz"
"254",2,"2019-10-25","LAL","L",86,95,29,70,0.414,8,25,0.32,20,21,0.952,3,40,19,8,2,22,25,1,"Jazz"
"255",3,"2019-10-26","SAC","W",113,81,44,78,0.564,18,37,0.486,7,12,0.583,2,43,28,6,1,21,22,2,"Jazz"
"256",4,"2019-10-28","PHO","W",96,95,27,71,0.38,10,31,0.323,32,39,0.821,6,49,19,8,5,23,26,3,"Jazz"
"257",5,"2019-10-30","LAC","W",110,96,44,80,0.55,11,24,0.458,11,16,0.688,3,36,23,12,5,14,18,4,"Jazz"
"258",6,"2019-11-01","SAC","L",101,102,35,73,0.479,11,28,0.393,20,27,0.741,6,36,18,12,5,17,18,2,"Jazz"
"259",7,"2019-11-03","LAC","L",94,105,31,78,0.397,10,31,0.323,22,31,0.71,6,37,16,4,6,14,30,1.33333333333333,"Jazz"
"260",8,"2019-11-06","PHI","W",106,104,41,89,0.461,8,22,0.364,16,24,0.667,14,50,21,9,4,13,21,1.66666666666667,"Jazz"
"261",9,"2019-11-08","MIL","W",103,100,34,84,0.405,15,36,0.417,20,29,0.69,11,56,15,3,1,20,27,2,"Jazz"
"262",10,"2019-11-11","GSW","W",122,108,40,81,0.494,16,35,0.457,26,32,0.813,5,43,30,3,3,12,16,2.33333333333333,"Jazz"
"263",11,"2019-11-12","BRK","W",119,114,43,92,0.467,6,26,0.231,27,35,0.771,11,46,16,7,4,11,18,2.66666666666667,"Jazz"
"264",12,"2019-11-15","MEM","L",106,107,35,87,0.402,9,34,0.265,27,32,0.844,9,45,17,5,6,14,16,2,"Jazz"
"265",13,"2019-11-18","MIN","L",102,112,35,96,0.365,12,31,0.387,20,26,0.769,12,53,20,5,5,14,23,1.6,"Jazz"
"266",14,"2019-11-20","MIN","W",103,95,35,86,0.407,14,33,0.424,19,27,0.704,13,51,22,7,6,11,21,1.8,"Jazz"
"267",15,"2019-11-22","GSW","W",113,109,43,85,0.506,14,32,0.438,13,16,0.813,8,48,23,4,10,17,14,2,"Jazz"
"268",16,"2019-11-23","NOP","W",128,120,42,82,0.512,15,36,0.417,29,33,0.879,7,49,29,2,4,17,21,2.2,"Jazz"
"269",17,"2019-11-25","MIL","L",118,122,43,85,0.506,21,45,0.467,11,12,0.917,4,40,29,4,6,16,23,1.83333333333333,"Jazz"
"270",18,"2019-11-27","IND","L",102,121,36,83,0.434,10,32,0.313,20,25,0.8,10,40,19,7,2,16,21,1.57142857142857,"Jazz"
"271",19,"2019-11-29","MEM","W",103,94,38,95,0.4,12,35,0.343,15,19,0.789,11,52,18,8,2,5,15,1.71428571428571,"Jazz"
"272",20,"2019-12-01","TOR","L",110,130,38,90,0.422,13,35,0.371,21,29,0.724,15,51,21,5,3,18,17,1.5,"Jazz"
"273",21,"2019-12-02","PHI","L",94,103,38,81,0.469,5,22,0.227,13,20,0.65,5,42,23,6,8,19,26,1.33333333333333,"Jazz"
"274",22,"2019-12-04","LAL","L",96,121,34,83,0.41,14,31,0.452,14,19,0.737,8,40,20,3,3,18,24,1.2,"Jazz"
"275",23,"2019-12-07","MEM","W",126,112,45,80,0.563,19,34,0.559,17,18,0.944,9,41,32,8,0,22,25,1.3,"Jazz"
"276",24,"2019-12-09","OKC","L",90,104,36,89,0.404,8,31,0.258,10,12,0.833,7,48,19,7,0,14,16,1.18181818181818,"Jazz"
"277",25,"2019-12-11","MIN","W",127,116,47,83,0.566,16,35,0.457,17,22,0.773,11,45,23,4,7,15,22,1.27272727272727,"Jazz"
"278",1,"2019-10-23","PHO","L",95,124,34,87,0.391,10,29,0.345,17,26,0.654,12,47,17,5,5,26,24,0,"Kings"
"279",2,"2019-10-25","POR","L",112,122,37,87,0.425,15,37,0.405,23,27,0.852,13,43,17,10,2,17,26,0,"Kings"
"280",3,"2019-10-26","UTA","L",81,113,30,81,0.37,7,26,0.269,14,17,0.824,6,31,16,5,3,17,19,0,"Kings"
"281",4,"2019-10-28","DEN","L",94,101,36,91,0.396,12,37,0.324,10,16,0.625,15,48,25,6,8,12,21,0,"Kings"
"282",5,"2019-10-30","CHO","L",111,118,44,96,0.458,14,46,0.304,9,12,0.75,10,39,26,11,5,15,19,0,"Kings"
"283",6,"2019-11-01","UTA","W",102,101,41,84,0.488,8,29,0.276,12,17,0.706,11,38,15,8,3,16,23,0.2,"Kings"
"284",7,"2019-11-03","NYK","W",113,92,41,85,0.482,15,39,0.385,16,25,0.64,10,50,25,7,5,14,29,0.4,"Kings"
"285",8,"2019-11-06","TOR","L",120,124,42,95,0.442,20,44,0.455,16,21,0.762,12,43,23,8,7,14,23,0.333333333333333,"Kings"
"286",9,"2019-11-08","ATL","W",121,109,42,76,0.553,18,31,0.581,19,22,0.864,9,36,27,7,7,14,19,0.5,"Kings"
"287",10,"2019-11-12","POR","W",107,99,38,86,0.442,11,32,0.344,20,26,0.769,11,46,24,9,5,14,25,0.666666666666667,"Kings"
"288",11,"2019-11-15","LAL","L",97,99,36,82,0.439,16,39,0.41,9,9,1,10,43,24,7,0,17,22,0.571428571428571,"Kings"
"289",12,"2019-11-17","BOS","W",100,99,38,89,0.427,14,35,0.4,10,12,0.833,10,45,22,8,7,12,24,0.714285714285714,"Kings"
"290",13,"2019-11-19","PHO","W",120,116,42,79,0.532,13,31,0.419,23,25,0.92,8,43,28,7,7,18,26,0.857142857142857,"Kings"
"291",14,"2019-11-22","BRK","L",97,116,39,86,0.453,4,26,0.154,15,19,0.789,7,33,26,8,2,16,25,0.75,"Kings"
"292",15,"2019-11-24","WAS","W",113,106,39,81,0.481,11,31,0.355,24,28,0.857,6,39,22,9,5,13,17,0.875,"Kings"
"293",16,"2019-11-25","BOS","L",102,103,37,79,0.468,18,47,0.383,10,15,0.667,8,36,28,3,8,14,18,0.777777777777778,"Kings"
"294",17,"2019-11-27","PHI","L",91,97,39,95,0.411,9,34,0.265,4,9,0.444,8,42,22,9,3,11,19,0.7,"Kings"
"295",18,"2019-11-30","DEN","W",100,97,37,96,0.385,8,33,0.242,18,21,0.857,13,50,22,12,4,14,23,0.8,"Kings"
"296",19,"2019-12-02","CHI","L",106,113,40,83,0.482,9,33,0.273,17,20,0.85,10,41,22,7,5,18,26,0.727272727272727,"Kings"
"297",20,"2019-12-04","POR","L",116,127,44,95,0.463,11,34,0.324,17,23,0.739,13,44,26,7,7,10,17,0.666666666666667,"Kings"
"298",21,"2019-12-06","SAS","L",104,105,40,102,0.392,9,34,0.265,15,18,0.833,16,52,19,10,3,14,20,0.615384615384615,"Kings"
"299",22,"2019-12-08","DAL","W",110,106,44,85,0.518,13,34,0.382,9,11,0.818,7,35,24,7,1,8,16,0.692307692307692,"Kings"
"300",23,"2019-12-09","HOU","W",119,118,40,88,0.455,20,45,0.444,19,22,0.864,9,37,24,14,5,9,17,0.769230769230769,"Kings"
"301",24,"2019-12-11","OKC","W",94,93,39,88,0.443,10,31,0.323,6,10,0.6,6,41,12,8,3,15,21,0.846153846153846,"Kings"
"302",1,"2019-10-23","SAS","L",111,120,44,94,0.468,10,30,0.333,13,18,0.722,5,39,24,16,1,14,32,0,"Knicks"
"303",2,"2019-10-25","BRK","L",109,113,38,81,0.469,17,25,0.68,16,28,0.571,9,39,17,14,4,26,31,0,"Knicks"
"304",3,"2019-10-26","BOS","L",95,118,31,82,0.378,7,27,0.259,26,34,0.765,16,55,15,7,4,23,26,0,"Knicks"
"305",4,"2019-10-28","CHI","W",105,98,38,91,0.418,9,29,0.31,20,32,0.625,25,63,19,3,6,17,19,0.333333333333333,"Knicks"
"306",5,"2019-10-30","ORL","L",83,95,31,82,0.378,7,31,0.226,14,20,0.7,10,44,19,1,10,11,15,0.25,"Knicks"
"307",6,"2019-11-01","BOS","L",102,104,37,93,0.398,14,38,0.368,14,21,0.667,16,51,22,9,4,13,23,0.2,"Knicks"
"308",7,"2019-11-03","SAC","L",92,113,32,80,0.4,8,31,0.258,20,31,0.645,9,38,18,6,5,13,23,0.166666666666667,"Knicks"
"309",8,"2019-11-06","DET","L",102,122,39,80,0.488,11,25,0.44,13,21,0.619,5,30,24,9,4,13,20,0.142857142857143,"Knicks"
"310",9,"2019-11-08","DAL","W",106,102,37,89,0.416,14,28,0.5,18,31,0.581,14,56,19,9,3,12,20,0.285714285714286,"Knicks"
"311",10,"2019-11-10","CLE","L",87,108,31,86,0.36,9,31,0.29,16,25,0.64,17,52,19,11,8,21,26,0.25,"Knicks"
"312",11,"2019-11-12","CHI","L",102,120,36,88,0.409,10,32,0.313,20,31,0.645,13,38,27,12,1,18,28,0.222222222222222,"Knicks"
"313",12,"2019-11-14","DAL","W",106,103,42,94,0.447,13,30,0.433,9,11,0.818,15,53,20,6,2,15,27,0.333333333333333,"Knicks"
"314",13,"2019-11-16","CHO","L",102,103,39,86,0.453,6,20,0.3,18,23,0.783,13,48,22,5,1,11,21,0.3,"Knicks"
"315",14,"2019-11-18","CLE","W",123,105,44,98,0.449,8,23,0.348,27,35,0.771,19,47,17,8,10,7,24,0.4,"Knicks"
"316",15,"2019-11-20","PHI","L",104,109,40,84,0.476,13,25,0.52,11,15,0.733,7,42,17,8,6,14,25,0.363636363636364,"Knicks"
"317",16,"2019-11-23","SAS","L",104,111,40,93,0.43,15,40,0.375,9,15,0.6,10,37,30,12,3,11,22,0.333333333333333,"Knicks"
"318",17,"2019-11-24","BRK","L",101,103,37,80,0.463,18,35,0.514,9,16,0.563,9,43,22,6,4,16,29,0.307692307692308,"Knicks"
"319",18,"2019-11-27","TOR","L",98,126,33,88,0.375,12,41,0.293,20,24,0.833,15,45,19,6,4,18,17,0.285714285714286,"Knicks"
"320",19,"2019-11-29","PHI","L",95,101,34,78,0.436,8,20,0.4,19,33,0.576,9,37,14,5,4,14,33,0.266666666666667,"Knicks"
"321",20,"2019-12-01","BOS","L",104,113,35,76,0.461,8,26,0.308,26,37,0.703,8,39,15,7,6,14,25,0.25,"Knicks"
"322",21,"2019-12-02","MIL","L",88,132,28,91,0.308,10,39,0.256,22,33,0.667,14,42,13,4,7,10,21,0.235294117647059,"Knicks"
"323",22,"2019-12-05","DEN","L",92,129,34,83,0.41,9,34,0.265,15,23,0.652,5,33,23,9,7,14,16,0.222222222222222,"Knicks"
"324",23,"2019-12-07","IND","L",103,104,39,96,0.406,10,31,0.323,15,21,0.714,15,52,24,11,6,11,14,0.210526315789474,"Knicks"
"325",24,"2019-12-10","POR","L",87,115,32,91,0.352,7,38,0.184,16,26,0.615,11,47,16,5,3,11,18,0.2,"Knicks"
"326",25,"2019-12-11","GSW","W",124,122,43,90,0.478,12,29,0.414,26,34,0.765,12,58,25,5,7,18,24,0.25,"Knicks"
"327",1,"2019-10-22","LAC","L",102,112,37,85,0.435,13,33,0.394,15,21,0.714,9,41,20,4,7,14,24,0,"Lakers"
"328",2,"2019-10-25","UTA","W",95,86,34,86,0.395,8,26,0.308,19,24,0.792,11,42,19,14,9,14,21,1,"Lakers"
"329",3,"2019-10-27","CHO","W",120,101,49,93,0.527,11,31,0.355,11,14,0.786,10,47,30,7,8,13,22,2,"Lakers"
"330",4,"2019-10-29","MEM","W",120,91,40,86,0.465,7,26,0.269,33,39,0.846,10,54,25,9,8,18,19,3,"Lakers"
"331",5,"2019-11-01","DAL","W",119,110,47,96,0.49,9,32,0.281,16,21,0.762,6,41,24,11,7,11,21,4,"Lakers"
"332",6,"2019-11-03","SAS","W",103,96,42,87,0.483,6,24,0.25,13,19,0.684,7,46,21,8,10,18,22,5,"Lakers"
"333",7,"2019-11-05","CHI","W",118,112,45,92,0.489,11,33,0.333,17,24,0.708,12,49,26,10,10,15,18,6,"Lakers"
"334",8,"2019-11-08","MIA","W",95,80,40,89,0.449,8,32,0.25,7,8,0.875,10,48,30,6,5,18,24,7,"Lakers"
"335",9,"2019-11-10","TOR","L",104,113,41,94,0.436,10,30,0.333,12,19,0.632,13,51,31,6,7,12,20,3.5,"Lakers"
"336",10,"2019-11-12","PHO","W",123,115,51,95,0.537,10,25,0.4,11,21,0.524,8,44,39,4,4,9,21,4,"Lakers"
"337",11,"2019-11-13","GSW","W",120,94,48,89,0.539,9,20,0.45,15,18,0.833,13,51,31,8,6,19,18,4.5,"Lakers"
"338",12,"2019-11-15","SAC","W",99,97,34,81,0.42,11,37,0.297,20,22,0.909,10,41,22,11,6,13,18,5,"Lakers"
"339",13,"2019-11-17","ATL","W",122,101,47,89,0.528,15,35,0.429,13,16,0.813,10,42,26,10,14,16,19,5.5,"Lakers"
"340",14,"2019-11-19","OKC","W",112,107,43,89,0.483,14,31,0.452,12,19,0.632,14,46,29,9,8,16,20,6,"Lakers"
"341",15,"2019-11-22","OKC","W",130,127,45,88,0.511,17,31,0.548,23,29,0.793,11,45,32,7,6,15,20,6.5,"Lakers"
"342",16,"2019-11-23","MEM","W",109,108,38,84,0.452,13,39,0.333,20,29,0.69,11,40,19,12,7,16,14,7,"Lakers"
"343",17,"2019-11-25","SAS","W",114,104,44,89,0.494,14,33,0.424,12,18,0.667,10,40,28,7,6,9,18,7.5,"Lakers"
"344",18,"2019-11-27","NOP","W",114,110,44,85,0.518,8,24,0.333,18,25,0.72,7,37,25,9,6,15,24,8,"Lakers"
"345",19,"2019-11-29","WAS","W",125,103,45,87,0.517,14,32,0.438,21,28,0.75,7,47,29,9,8,18,20,8.5,"Lakers"
"346",20,"2019-12-01","DAL","L",100,114,40,87,0.46,7,27,0.259,13,16,0.813,9,45,25,9,3,17,14,5.66666666666667,"Lakers"
"347",21,"2019-12-03","DEN","W",105,96,39,84,0.464,7,24,0.292,20,30,0.667,14,56,24,8,5,16,23,6,"Lakers"
"348",22,"2019-12-04","UTA","W",121,96,46,90,0.511,14,29,0.483,15,25,0.6,8,46,27,13,12,7,17,6.33333333333333,"Lakers"
"349",23,"2019-12-06","POR","W",136,113,46,85,0.541,17,36,0.472,27,33,0.818,3,45,26,10,8,16,23,6.66666666666667,"Lakers"
"350",24,"2019-12-08","MIN","W",142,125,55,94,0.585,14,31,0.452,18,20,0.9,10,41,32,9,1,10,19,7,"Lakers"
"351",25,"2019-12-11","ORL","W",96,87,37,87,0.425,12,31,0.387,10,19,0.526,12,49,20,10,4,13,17,7.33333333333333,"Lakers"
"352",1,"2019-10-23","CLE","W",94,85,37,86,0.43,9,30,0.3,11,19,0.579,7,46,24,12,4,13,18,NA,"Magic"
"353",2,"2019-10-26","ATL","L",99,103,35,99,0.354,5,31,0.161,24,26,0.923,17,46,15,8,7,10,15,1,"Magic"
"354",3,"2019-10-28","TOR","L",95,104,34,89,0.382,12,39,0.308,15,18,0.833,8,47,22,9,6,16,20,0.5,"Magic"
"355",4,"2019-10-30","NYK","W",95,83,37,88,0.42,12,32,0.375,9,12,0.75,14,52,24,5,6,7,17,1,"Magic"
"356",5,"2019-11-01","MIL","L",91,123,34,91,0.374,12,37,0.324,11,17,0.647,10,40,21,8,3,16,16,0.666666666666667,"Magic"
"357",6,"2019-11-02","DEN","L",87,91,37,86,0.43,6,29,0.207,7,11,0.636,10,47,22,8,7,15,25,0.5,"Magic"
"358",7,"2019-11-05","OKC","L",94,102,32,82,0.39,3,22,0.136,27,31,0.871,16,53,15,5,8,14,24,0.4,"Magic"
"359",8,"2019-11-06","DAL","L",106,107,39,80,0.488,6,24,0.25,22,28,0.786,10,44,25,14,10,18,30,0.333333333333333,"Magic"
"360",9,"2019-11-08","MEM","W",118,86,44,93,0.473,7,28,0.25,23,27,0.852,12,57,24,10,10,9,17,0.5,"Magic"
"361",10,"2019-11-10","IND","L",102,109,41,89,0.461,15,36,0.417,5,6,0.833,7,37,27,5,11,10,10,0.428571428571429,"Magic"
"362",11,"2019-11-13","PHI","W",112,97,38,86,0.442,10,32,0.313,26,34,0.765,9,48,27,6,2,13,22,0.571428571428571,"Magic"
"363",12,"2019-11-15","SAS","W",111,109,36,87,0.414,12,29,0.414,27,34,0.794,14,48,22,6,5,10,13,0.714285714285714,"Magic"
"364",13,"2019-11-17","WAS","W",125,121,43,87,0.494,15,38,0.395,24,26,0.923,11,52,25,5,3,14,15,0.857142857142857,"Magic"
"365",14,"2019-11-20","TOR","L",97,113,35,91,0.385,9,32,0.281,18,28,0.643,16,43,26,9,8,11,16,0.75,"Magic"
"366",15,"2019-11-23","IND","L",106,111,43,92,0.467,13,31,0.419,7,9,0.778,7,33,24,11,5,13,16,0.666666666666667,"Magic"
"367",16,"2019-11-25","DET","L",88,103,32,84,0.381,8,25,0.32,16,22,0.727,8,41,15,8,7,9,21,0.6,"Magic"
"368",17,"2019-11-27","CLE","W",116,104,45,93,0.484,12,33,0.364,14,17,0.824,6,34,23,13,6,11,22,0.7,"Magic"
"369",18,"2019-11-29","TOR","L",83,90,27,78,0.346,7,29,0.241,22,27,0.815,13,52,17,10,11,22,19,0.636363636363636,"Magic"
"370",19,"2019-12-01","GSW","W",100,96,37,87,0.425,11,33,0.333,15,22,0.682,12,48,21,7,8,12,20,0.727272727272727,"Magic"
"371",20,"2019-12-03","WAS","W",127,120,46,90,0.511,15,31,0.484,20,27,0.741,8,48,26,3,4,13,18,0.818181818181818,"Magic"
"372",21,"2019-12-04","PHO","W",128,114,49,85,0.576,14,25,0.56,16,20,0.8,11,45,27,9,7,19,19,0.909090909090909,"Magic"
"373",22,"2019-12-06","CLE","W",93,87,32,82,0.39,9,26,0.346,20,23,0.87,10,43,19,10,9,17,13,1,"Magic"
"374",23,"2019-12-09","MIL","L",101,110,35,92,0.38,10,31,0.323,21,26,0.808,9,44,24,8,10,12,18,0.916666666666667,"Magic"
"375",24,"2019-12-11","LAL","L",87,96,34,81,0.42,8,26,0.308,11,17,0.647,8,41,20,10,5,14,17,0.846153846153846,"Magic"
"376",1,"2019-10-23","WAS","W",108,100,35,76,0.461,11,36,0.306,27,33,0.818,5,46,17,6,5,19,22,NA,"Mavericks"
"377",2,"2019-10-25","NOP","W",123,116,45,93,0.484,14,40,0.35,19,26,0.731,12,49,23,8,7,11,19,NA,"Mavericks"
"378",3,"2019-10-27","POR","L",119,121,37,94,0.394,13,50,0.26,32,41,0.78,12,46,27,7,3,11,22,2,"Mavericks"
"379",4,"2019-10-29","DEN","W",109,106,41,84,0.488,13,37,0.351,14,24,0.583,10,42,29,6,5,8,14,3,"Mavericks"
"380",5,"2019-11-01","LAL","L",110,119,40,102,0.392,14,36,0.389,16,23,0.696,18,61,23,5,1,22,21,1.5,"Mavericks"
